Time;Label
0.312;Cuff = Cuff2
120.538;BraCal: begin auto
162.652;ArmCuff: 108/60
201.358;ArmCuff: 116/58
220.789;BraCal: 112/59, Δ-18
226.882;Physiocal: OFF
333.665;User marker 1
415.359;User marker 2
484.057;User marker 3
557.032;User marker 4
640.325;User marker 5
