Time;Label
0.3791;Cuff = Cuff2
120.7226;BraCal: begin auto
168.8580;ArmCuff: 103/54
213.6874;ArmCuff: 100/58
225.4094;BraCal: 101.5/56, Δ-14
700.6875;Cuff = Cuff2
853.7044;Physiocal: OFF
893.8071;User marker 1
962.7395;User marker 2
1018.7087;User marker 3
1089.6932;User marker 4
1156.9233;User marker 5
1226.7933;User marker 6
