Time;Label
0.3124;Cuff = Cuff2
120.5380;BraCal: begin auto
162.6517;ArmCuff: 108/60
201.3579;ArmCuff: 116/58
220.7888;BraCal: 112/59, Δ-18
226.8824;Physiocal: OFF
333.6651;User marker 1
415.3592;User marker 2
484.0573;User marker 3
557.0317;User marker 4
640.3251;User marker 5
